Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
test1,Success,5,0,2016-09-22 14:25:50 +0100,2016-09-22 14:36:32 +0100,0:00:10
OCRDemo,Success,4,0,2016-09-22 14:29:14 +0100,2016-09-22 14:31:43 +0100,0:00:03
