Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
BackOffice,Failure,3,3,2017-06-06 17:58:45 +0100,2017-06-06 18:08:09 +0100,0:00:00
MASTER,Success,5,1,2017-06-06 17:50:50 +0100,2017-06-07 15:21:27 +0100,0:02:25
